Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,High,53.85
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,Low,16.55
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,Median,25.0
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,High,34.87
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,Low,16.55
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,Median,29.55
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,High,34.74
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,Low,20.51
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,Median,28.21
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,High,56.41
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,Low,22.0
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,Median,32.54
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,High,45.13
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,Low,17.31
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,Median,25.0
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,High,41.03
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,Low,20.0
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,Median,35.1
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,High,55.43
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,Low,23.59
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,Median,34.07
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,High,54.87
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,Low,21.37
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,Median,32.0
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,High,52.88
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,Low,18.75
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,Median,27.0
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,High,46.3
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,Low,16.55
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,Median,28.85
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,High,52.31
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,Low,19.04
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,Median,29.0
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,High,39.9
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,Low,17.0
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,Median,25.0
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,High,36.0
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,Low,16.55
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,Median,24.52
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,High,42.86
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,Low,16.55
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,Median,22.44
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,High,32.05
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,Low,18.0
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,Median,24.0
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,High,35.77
ON,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,47,Low,17.0
ON,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,47,Median,25.96
ON,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,47,High,38.9
ON,General office support workers ,14100,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,48,Low,16.55
ON,General office support workers ,14100,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,48,Median,21.66
ON,General office support workers ,14100,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,48,High,32.69
ON,Receptionists ,14101,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,49,Low,16.55
ON,Receptionists ,14101,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,49,Median,19.0
ON,Receptionists ,14101,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,49,High,26.0
ON,Personnel clerks ,14102,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,50,Low,19.23
ON,Personnel clerks ,14102,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,50,Median,24.04
ON,Personnel clerks ,14102,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,50,High,32.21
ON,Court clerks and related court services occupations ,14103,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,51,Low,25.5
ON,Court clerks and related court services occupations ,14103,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,51,Median,28.59
ON,Court clerks and related court services occupations ,14103,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,51,High,53.85
ON,Survey interviewers and statistical clerks ,14110,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,52,Low,17.0
ON,Survey interviewers and statistical clerks ,14110,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,52,Median,18.83
ON,Survey interviewers and statistical clerks ,14110,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,52,High,44.53
ON,Data entry clerks ,14111,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,53,Low,16.55
ON,Data entry clerks ,14111,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,53,Median,20.0
ON,Data entry clerks ,14111,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,53,High,30.77
ON,Desktop publishing operators and related occupations ,14112,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,54,Low,16.55
ON,Desktop publishing operators and related occupations ,14112,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,54,Median,19.66
ON,Desktop publishing operators and related occupations ,14112,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,54,High,25.5
ON,Accounting and related clerks ,14200,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,55,Low,17.0
ON,Accounting and related clerks ,14200,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,55,Median,23.78
ON,Accounting and related clerks ,14200,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,55,High,35.0
ON,"Banking, insurance and other financial clerks ",14201,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,56,Low,18.0
ON,"Banking, insurance and other financial clerks ",14201,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,56,Median,23.59
ON,"Banking, insurance and other financial clerks ",14201,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,56,High,35.9
ON,Collection clerks ,14202,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,57,Low,16.55
ON,Collection clerks ,14202,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,57,Median,23.01
ON,Collection clerks ,14202,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,57,High,34.5
ON,Library assistants and clerks ,14300,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,58,Low,16.55
ON,Library assistants and clerks ,14300,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,58,Median,19.0
ON,Library assistants and clerks ,14300,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,58,High,29.64
ON,"Correspondence, publication and regulatory clerks ",14301,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,59,Low,18.75
ON,"Correspondence, publication and regulatory clerks ",14301,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,59,Median,26.0
ON,"Correspondence, publication and regulatory clerks ",14301,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,59,High,43.66
ON,Shippers and receivers ,14400,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,60,Low,16.55
ON,Shippers and receivers ,14400,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support,60,Median,20.67
