Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position,ID,Wave_Level,Value,mean_temperature,Average_house_price,bachelors_higher,Minimum_wage,CPI
ON,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,10,High,96.15,-4.1,0.881946,29.9,16.55,3.4
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,Low,34.62,-4.1,0.881946,29.9,16.55,3.4
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,Median,52.35,-4.1,0.881946,29.9,16.55,3.4
ON,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,11,High,84.62,-4.1,0.881946,29.9,16.55,3.4
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,Low,31.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,Median,53.85,-4.1,0.881946,29.9,16.55,3.4
ON,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,12,High,91.35,-4.1,0.881946,29.9,16.55,3.4
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,Low,30.43,-4.1,0.881946,29.9,16.55,3.4
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,Median,53.3,-4.1,0.881946,29.9,16.55,3.4
ON,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,13,High,84.62,-4.1,0.881946,29.9,16.55,3.4
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,Low,31.0,-4.1,0.881946,29.9,16.55,3.4
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,Median,45.0,-4.1,0.881946,29.9,16.55,3.4
ON,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers,14,High,72.12,-4.1,0.881946,29.9,16.55,3.4
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,Low,23.08,-4.1,0.881946,29.9,16.55,3.4
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,Median,39.0,-4.1,0.881946,29.9,16.55,3.4
ON,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,15,High,66.67,-4.1,0.881946,29.9,16.55,3.4
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,Low,24.73,-4.1,0.881946,29.9,16.55,3.4
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,Median,38.46,-4.1,0.881946,29.9,16.55,3.4
ON,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,16,High,53.85,-4.1,0.881946,29.9,16.55,3.4
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,Low,22.56,-4.1,0.881946,29.9,16.55,3.4
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,Median,34.79,-4.1,0.881946,29.9,16.55,3.4
ON,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,17,High,71.43,-4.1,0.881946,29.9,16.55,3.4
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,Low,23.83,-4.1,0.881946,29.9,16.55,3.4
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,Median,51.28,-4.1,0.881946,29.9,16.55,3.4
ON,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,18,High,90.66,-4.1,0.881946,29.9,16.55,3.4
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,Low,22.0,-4.1,0.881946,29.9,16.55,3.4
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,Median,36.92,-4.1,0.881946,29.9,16.55,3.4
ON,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,19,High,76.41,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,Low,23.08,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,Median,36.92,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,20,High,57.44,-4.1,0.881946,29.9,16.55,3.4
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,Low,24.04,-4.1,0.881946,29.9,16.55,3.4
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,Median,41.35,-4.1,0.881946,29.9,16.55,3.4
ON,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,21,High,71.28,-4.1,0.881946,29.9,16.55,3.4
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,Low,18.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,Median,32.69,-4.1,0.881946,29.9,16.55,3.4
ON,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals,22,High,55.29,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,Low,20.33,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,Median,30.29,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,23,High,48.72,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,Low,21.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,Median,34.16,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,24,High,58.97,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,Low,23.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,Median,42.56,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,25,High,55.66,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,Low,19.55,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,Median,25.23,-4.1,0.881946,29.9,16.55,3.4
ON,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,26,High,39.0,-4.1,0.881946,29.9,16.55,3.4
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,Low,22.18,-4.1,0.881946,29.9,16.55,3.4
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,Median,33.65,-4.1,0.881946,29.9,16.55,3.4
ON,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,27,High,49.45,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,Low,20.0,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,Median,33.65,-4.1,0.881946,29.9,16.55,3.4
ON,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,28,High,50.0,-4.1,0.881946,29.9,16.55,3.4
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,Low,21.63,-4.1,0.881946,29.9,16.55,3.4
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,Median,33.65,-4.1,0.881946,29.9,16.55,3.4
ON,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,29,High,57.69,-4.1,0.881946,29.9,16.55,3.4
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,Median,25.5,-4.1,0.881946,29.9,16.55,3.4
ON,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,30,High,44.1,-4.1,0.881946,29.9,16.55,3.4
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,Low,26.67,-4.1,0.881946,29.9,16.55,3.4
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,Median,35.38,-4.1,0.881946,29.9,16.55,3.4
ON,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,31,High,53.85,-4.1,0.881946,29.9,16.55,3.4
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,Median,25.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,32,High,34.87,-4.1,0.881946,29.9,16.55,3.4
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,Median,29.55,-4.1,0.881946,29.9,16.55,3.4
ON,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,33,High,34.74,-4.1,0.881946,29.9,16.55,3.4
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,Low,20.51,-4.1,0.881946,29.9,16.55,3.4
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,Median,28.21,-4.1,0.881946,29.9,16.55,3.4
ON,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,34,High,56.41,-4.1,0.881946,29.9,16.55,3.4
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,Low,22.0,-4.1,0.881946,29.9,16.55,3.4
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,Median,32.54,-4.1,0.881946,29.9,16.55,3.4
ON,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,35,High,45.13,-4.1,0.881946,29.9,16.55,3.4
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,Low,17.31,-4.1,0.881946,29.9,16.55,3.4
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,Median,25.0,-4.1,0.881946,29.9,16.55,3.4
ON,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,36,High,41.03,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,Low,20.0,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,Median,35.1,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,37,High,55.43,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,Low,23.59,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,Median,34.07,-4.1,0.881946,29.9,16.55,3.4
ON,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,38,High,54.87,-4.1,0.881946,29.9,16.55,3.4
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,Low,21.37,-4.1,0.881946,29.9,16.55,3.4
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,Median,32.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors,39,High,52.88,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,Low,18.75,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,Median,27.0,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,40,High,46.3,-4.1,0.881946,29.9,16.55,3.4
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,Median,28.85,-4.1,0.881946,29.9,16.55,3.4
ON,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,41,High,52.31,-4.1,0.881946,29.9,16.55,3.4
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,Low,19.04,-4.1,0.881946,29.9,16.55,3.4
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,Median,29.0,-4.1,0.881946,29.9,16.55,3.4
ON,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,42,High,39.9,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,Low,17.0,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,Median,25.0,-4.1,0.881946,29.9,16.55,3.4
ON,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,43,High,36.0,-4.1,0.881946,29.9,16.55,3.4
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,Median,24.52,-4.1,0.881946,29.9,16.55,3.4
ON,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,44,High,42.86,-4.1,0.881946,29.9,16.55,3.4
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,Low,16.55,-4.1,0.881946,29.9,16.55,3.4
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,Median,22.44,-4.1,0.881946,29.9,16.55,3.4
ON,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,45,High,32.05,-4.1,0.881946,29.9,16.55,3.4
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,Low,18.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,Median,24.0,-4.1,0.881946,29.9,16.55,3.4
ON,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,46,High,35.77,-4.1,0.881946,29.9,16.55,3.4
ON,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades,47,Low,17.0,-4.1,0.881946,29.9,16.55,3.4
